"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:32 GMT 2025","9865","","Tests.LoginFormTest","","Tests.LoginFormTest","signInTest","Проверка проведения авторизации",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:26 GMT 2025","3901","","Tests.NavigationTest","","Tests.NavigationTest","getTitleTest","проверка title",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:27 GMT 2025","4667","","Tests.NavigationTest","","Tests.NavigationTest","getDevelopersPageLink","проверка developer's page link",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:30 GMT 2025","8016","","Tests.NavigationTest","","Tests.NavigationTest","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:27 GMT 2025","4712","","Tests.NavigationTest","","Tests.NavigationTest","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:25 GMT 2025","3307","","Tests.LoginFormTest","","Tests.LoginFormTest","InvalidSignInTest","Проверка провала авторизации",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:28 GMT 2025","5500","","Tests.NavigationTest","","Tests.NavigationTest","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:24 GMT 2025","1764","","Tests.NavigationTest","","Tests.NavigationTest","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:29 GMT 2025","6800","","Tests.NavigationTest","","Tests.NavigationTest","getCopyRightText","проверка Copyright",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:31 GMT 2025","9095","","Tests.NavigationTest","","Tests.NavigationTest","logoClickTest","проверка logo click",""
"passed","Fri May 09 22:37:22 GMT 2025","Fri May 09 22:37:29 GMT 2025","6258","","Tests.NavigationTest","","Tests.NavigationTest","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
